koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
CONFIRMED,0,0,0,0,5.169804269,172.63153,0.351,2.153,1037.4,1.66,569,41.4,2,0.509
CONFIRMED,0,0,0,0,21.22261195,137.57403,0.02,6.5093,366,2.48,771,114.9,2,1.302
CONFIRMED,0,0,0,0,20.09017037,147.97788,0.886,4.154,1432.1,2.25,362,36.9,3,0.509
CONFIRMED,0,0,0,0,7.11373257,174.32351,0.334,2.1764,807.6,1.16,429,44.4,1,0.411
CONFIRMED,0,0,0,0,3.306551643,134.37211,0.001,1.8177,509.2,0.91,554,37.8,2,0.411
CONFIRMED,0,0,0,0,15.36845737,147.38965,0.115,2.4714,756.1,1.11,332,30.9,3,0.411
CANDIDATE,0,0,0,0,13.81020318,172.33533,0.791,3.048,1309.7,4.56,833,46.2,1,1.142
CONFIRMED,0,0,0,0,4.093578461,171.00954,0.93,2.5833,538.6,2.85,1182,36.4,1,0.999
CONFIRMED,0,0,0,0,105.145959,178.367,0.964,8.593,685.4,3.43,401,15.4,2,0.999
CONFIRMED,0,0,0,0,10.8484518,171.80584,0.21,2.9993,1675.6,2.34,499,64.5,1,0.591
CONFIRMED,0,0,0,0,4.082274889,169.6375652,0.093,3.23015,17859,10.55,1016,1669.1,1,0.794
CANDIDATE,0,0,0,0,3.886655224,169.73814,0.649,3.1646,581.6,1.87,1010,48.1,1,0.738
CONFIRMED,0,0,0,0,42.1406089,139.0604,0.045,5.083,895.5,1.85,349,21.6,5,0.646
CONFIRMED,0,0,0,0,10.19849255,137.92067,0.714,2.4283,634.1,1.75,559,21.4,4,0.646
FALSE POSITIVE,0,1,1,0,5.795063956,172.697467,0.949,3.2496,1692.9,4.33,950,119.4,1,0.827
CONFIRMED,0,0,0,0,7.15681552,174.13511,0.45,2.5882,867,2.47,782,47.7,1,0.838
CONFIRMED,0,0,0,0,17.64830851,133.54533,0.653,2.0873,763.3,2.43,579,23.8,2,0.838
CONFIRMED,0,0,0,0,16.51410989,176.11686,0.395,4.1575,973.5,2.72,655,55.9,1,0.866
CONFIRMED,0,0,0,0,4.79090809,136.31106,0.11,2.603,251.3,1.36,990,21.2,4,0.866
CONFIRMED,0,0,0,0,31.71981013,142.82083,0.125,4.819,363.4,3.09,743,63.1,2,1.626
CONFIRMED,0,0,0,0,99.6415962,198.68664,0.028,4.448,952.5,2.64,360,22.7,3,0.866
CONFIRMED,0,0,0,0,4.708326451,171.446507,0.061,3.16114,7912.7,10.6,1162,633.4,1,1.21
FALSE POSITIVE,0,0,1,1,16.37198661,172.75926,9.303,3.8449,4147.6,540.37,438,54.5,1,0.592
CONFIRMED,0,0,0,0,5.392026903,171.72707,0.314,2.9804,1151.4,2.68,850,77.4,1,0.801
CONFIRMED,0,0,0,0,6.491682808,174.633553,0.535,4.301,7163.3,9.66,1062,502.3,1,1.107
FALSE POSITIVE,0,1,1,1,3.044770796,172.01916,1.252,10.0134,1695,24.54,1076,203.5,1,0.753
CONFIRMED,0,0,0,0,3.855603916,170.6787843,0.348,3.2179,16653,13.61,1212,1173.9,1,1.046
FALSE POSITIVE,0,0,1,1,3.855599139,170.67957,0.864,3.183,1030.9,3.57,1158,90.1,1,0.965
CONFIRMED,0,0,0,0,38.47876629,151.852812,0.003,5.04169,23530,13.26,484,1077.8,1,0.879
FALSE POSITIVE,0,1,0,0,37.60166128,194.713383,0.408,8.30604,59130,27.22,606,1667.3,1,1.096
CONFIRMED,0,0,0,0,3.314947362,171.313058,0.799,1.8007,1398.2,3.94,1155,123.5,1,0.944
